,,,,,,
Label,Section,Offence,Punishment,Cognizable or non-cognizable,Bailable or non-bailable,By what court triable
Murder,302,Murder,"Death, or imprisonment for life, and fine.",Cognizableÿ,Non-bailable,Court of Session.
"Murder,imprisonment,already,jailed",303,Murder by a person under sentence of imprisonment for life.,Death,cognizable,Non-bailable,Court of Session.
"intenstional,murder,wantedly",304,"Culpable homicide not amounting to murder, if act by which the death is caused is done with intention of causing death, etc.","Imprisonment for life, or imprisonment for 10 years and fine.",cognizable,Non-bailable,Court of Session.
"unwantedly,unintensionally,murder",,"If act is done with knowledge that it is likely to cause death, but without any intention to cause death, etc.","Imprisonment for 10 years, or fine, or both.",cognizable,Non-bailable,Court of Session.
"negligence,death,rash",304 A,Causing death by rash or negligence act.,"Imprisonment for 2 years or fine, or both.",cognizable,Bailable,Magistrate of the first class.
"dowry,death",304 B,Dowry death,Imprisonment of not less than seven years but which may extend to imprisonment for life.,cognizable,Non-bailable,Court of Session.
"encourage,suicide,intoxicated,mentally retarded",305,"Abetment of suicide committed by child, or insane or delirious person or an idiot, or a person intoxicated.","Death, or imprisonment for life, or imprisonment for 10 years and fine.",cognizable,Non-bailable,Court of Session.
"encourage,suicide",306,Abetting the commission of suicide,Imprisonment for 10 years and fine.,cognizable,Non-bailable,Court of Session.
"attempt,murder",307,Attempt to murder,Imprisonment for 10 years and fine.,cognizable,Non-bailable,Court of Session.
"attempt,murder,hurt",,If such act causes hurt to any person.,"Imprisonment for life, or imprisonment for 10 years and fine.",cognizable,Non-bailable,Court of Session.
"life convict,attempt,murder",,"Attempt by life-convict to murder, if hurt is caused.",Death or imprisonment for 10 years and fine.,cognizable,Non-bailable,Court of Session.
"attempt,homicide",308,Attempt to commit culpable homicide.,"Imprisonment for 3 years, or fine, or both.",cognizable,Non-bailable,Court of Session.
"hurt,attempt,homicide",,If such act causes hurt to any person.,"Imprisonment for 7 years, or fine, or both.",cognizable,Non-bailable,Court of Session.
"attempt,suicide",309,Attempt to commit suicide,"Simple imprisonment for 1 year, or fine, or both.",cognizable,Bailable,Any Magistrate.
thug,311,Being a thug,Imprisonment for life and fine.,cognizable,Non-bailable,Court of Session.
miscarriage,312,Causing miscarriage,"Imprisonment for 3 years, fine, or both.",Non-cognizable,Bailable,Magistrate of the first class.
abortion,,If the woman be quick with child,Imprisonment for 7 years and fine.,Non-cognizable,Bailable,Magistrate of the first class.
"without consent,miscarriage",313,Causing miscarriage without woman's consent.,"Imprisonment for life, or imprisonment for 10 years and fine.",Cognizable,Non-bailable,Court of Session.
"intenstional,wantedly,miscarriage",314,Death caused by an act done with intent to cause miscarriage.,Imprisonment for 10 years and fine.,cognizable,Non-bailable,Court of Session.
"without consent,miscarriage",,If act done without woman's consent.,"Imprisonment for life, or as above.",cognizable,Non-bailable,Court of Session.
"child death,foetus,kill",315,"Act done with intent to prevent a child being born alive, or to cause it to die after its birth.","Imprisonment for 10 years or fine, or both.",cognizable,Non-bailable,Court of Session.
"foetus,kill,homicide",316,Causing death of a quick unborn child by an act amounting to culpable homicide.,Imprisonment for 10 years and fine.,cognizable,Non-bailable,Court of Session.
"child,abandoning",317,Exposure of a child under 12 years of age by parent or person having care of it with intention of wholly abandoning it.,"Imprisonment for 7 years, or fine, or both.",cognizable,Bailable,Magistrate of the first class.
,318,Concealment of birth by secret disposal of dead body.,"Imprisonment for 2 years, or fine, or both.",cognizable,Bailable,Magistrate of the First class
"hurt,wantedly",323,Voluntarily causing hurt,"Imprisonment for 1 year, or fine of 1,000 rupees, or both.",Non-cognizable,Bailable,Any Magistrate.
"weapon,hurt,wantedly",324,Voluntarily causing hurt by dangerous weapons or means.,"Imprisonment for 3 years, or fine, or both.",Cognizable,Bailable,any magistrate
greivous,325,Voluntarily causing grievous hurt,Imprisonment for 7 years and fine.,cognizable,Bailable,any magistrate
"weapon,grevious",326,Voluntarily causing grievous hurt by dangerous weapons or means.,"Imprisonment for life, or imprisonment for 10 years and fine.",cognizable,Non-bailable,Magistrate of the first class.
,327,"Voluntarily causing hurt to extort property or a valuable security, or to constrain to do anything which is illegal or which may facilitate the commission of an offence.",Imprisonment for 10 years and fine.,cognizable,Non-bailable,Magistrate of the first class.
"drugs,hurt",328,"Administering stupefying drug with intent to cause hurt, etc.",Ditto.,cognizable,Non-bailable,Court of Session.
,329,"Voluntarily causing grievous hurt to export property or a valuable security, or to constrain to do anything which is illegal, or which may facilitate the commission of an offence.","Imprisonment for life, or imprisonment for 10 years and fine.",cognizable,Non-bailable,Court of Session.
"blackmailing,blackmail",330,"Voluntarily causing hurt to extort confession or information, or to compel restoration of property, etc.",Imprisonment for 7 years and fine.,cognizable,Bailable,Magistrate of the first class.
"blackmailing,blackmail",331,"Voluntarily causing grievous hurt to extort confession or information, or to compel restoration of property, etc.",Imprisonment for 10 years and fine.,cognizable,ÿNon-bailable,Court of Session.
"public servent,hurt",332,Voluntarily causing hurt to deter public servant from his duty.,"Imprisonment for 3 years, or fine, or both.",cognizable,Bailable,Magistrate of the first class.
"public servent,hurt",333,Voluntarily causing grievous hurt to deter public servant from his duty.,Imprisonment for 10 years and fine.,cognizable,ÿNon-bailable,Court of Session.
"sudden provocation,hurt",334,"Voluntarily causing hurt on grave and sudden provocation, not intending to hurt any other than the person who gave the provocation.","Imprisonment for 1 month, or fine of 500 rupees, or both.",Non-cognizable,Bailable,Any Magistrate.
"sudden provocation,hurt",335,"Causing grievous hurt on grave and sudden provocation, not intending to hurt any other than the person who gave the provocation.","Imprisonment for 4 years, or fine of 2,000 rupees, or both.",Cognizable,Bailable,Magistrate of the first class.
harmful,336,Doing any act which endangers human life or the personal safety of others.,"Imprisonment for 3 months, or fine of 250 rupees, or both.",cognizable,Bailable,Any Magistrate.
harmful,337,"Causing hurt by an act which endangers human life, etc.","Imprisonment for 6 months, or fine of 500 rupees, or both.",cognizable,Bailable,Any Magistrate
harmful,338,"Causing grievous hurt by an act which endangers human life, etc.","Imprisonment for 2 years, or fine of 1,000 rupees, or both.",cognizable,Bailable,Any Magistrate.
restrain,341,Wrongfully restraining any person,"Simple imprisonment for 1 month, or fine of 500 rupees, or both.",cognizable,Bailable,Any Magistrate.
"confine,capture",342,Wrongfully confining any person,"Imprisonment for 1 year, fine of 1,000 rupees, or both.",cognizable,Bailable,Any Magistrate.
"3 days,confine,capture",343,Wrongfully confining for 3 or more days.,"Imprisonment for 2 years, or fine, or both.",cognizable,Bailable,Any Magistrate.
"10 days,confine,capture",344,Wrongfully confining for 10 or and more days.,Imprisonment for 3 years and fine.,cognizable,Bailable,Any Magistrate.
"confine,capture,liberation",345,"Keeping any person in wrongful confinement, knowing that a writ has been issued for his liberation.","Imprisonment for 2 years, in addition to imprisonment under any other section.",cognizable,Bailable,Magistrate of the first class
"in secret,confinement",346,Wrongful confinement in secret,Ditto,cognizable,Bailable,Magistrate of the first class
"blackmailing,blackmail,confine,capture",347,"Wrongful confinement for the purpose of extorting property, or constraining to an illegal act, etc.",Imprisonment for 3 years and fine.,cognizable,Bailable,Any magistrate
"blackmailing,blackmail,confine,capture",348,"Wrongful confinement for the purpose of extorting confession or information, or of compelling restoration of property, etc.",Ditto,cognizable,Bailable,Any magistrate
,,,,,,
